IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN
  0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.000,      0,      3,  0.000,  0.000,  0.003,  0.011, -0.000
 -0.000,     10,     18,  0.002,  0.000,  0.009,  0.024, -0.003
 -0.000,     35,     43,  0.007,  0.000,  0.009,  0.033, -0.010
 -0.000,     70,     77,  0.012,  0.000,  0.007,  0.038, -0.009
 -0.000,    110,    116,  0.019,  0.000,  0.006,  0.041, -0.009
 -0.000,    152,    158,  0.026,  0.000,  0.006,  0.043, -0.007
 -0.000,    195,    202,  0.034,  0.000,  0.007,  0.044, -0.007
 -0.000,    243,    247,  0.041,  0.000,  0.004,  0.043, -0.009
 -0.000,    289,    292,  0.049,  0.000,  0.003,  0.041, -0.008
 -0.000,    336,    336,  0.057,  0.000,  0.000,  0.039, -0.006
 -0.000,    380,    378,  0.064,  0.000, -0.002,  0.037, -0.005
 -0.000,    422,    420,  0.071,  0.000, -0.002,  0.035, -0.003
 -0.000,    462,    459,  0.078,  0.000, -0.003,  0.034, -0.000
 -0.000,    501,    498,  0.084,  0.000, -0.003,  0.032, -0.000
 -0.000,    539,    536,  0.091,  0.000, -0.003,  0.031,  0.001
 -0.000,    575,    572,  0.097,  0.000, -0.003,  0.029, -0.000
 -0.000,    609,    607,  0.103,  0.000, -0.002,  0.028,  0.001
 -0.000,    642,    641,  0.109,  0.000, -0.001,  0.026,  0.001
 -0.000,    673,    672,  0.114,  0.000, -0.001,  0.000,  0.785
 -0.000,    648,    723,  0.116,  0.000,  0.080,  0.000,  0.785
 -0.000,    602,    790,  0.118,  0.001,  0.201,  0.000,  0.785
 -0.000,    552,    856,  0.119,  0.001,  0.325,  0.000,  0.785
 -0.000,    499,    923,  0.120,  0.001,  0.453,  0.000,  0.785
 -0.000,    451,    985,  0.121,  0.002,  0.570,  0.000,  0.466
 -0.000,    420,   1027,  0.122,  0.002,  0.648,  0.000,  0.417
 -0.000,    395,   1066,  0.123,  0.003,  0.717,  0.000,  0.356
 -0.000,    373,   1100,  0.124,  0.004,  0.776,  0.000,  0.311
 -0.000,    352,   1131,  0.124,  0.004,  0.832,  0.000,  0.273
 -0.000,    334,   1158,  0.125,  0.005,  0.880,  0.000,  0.243
 -0.000,    317,   1183,  0.125,  0.006,  0.925,  0.000,  0.214
 -0.000,    303,   1204,  0.125,  0.006,  0.962,  0.000,  0.190
 -0.000,    289,   1224,  0.126,  0.007,  0.999,  0.000,  0.166
 -0.000,    278,   1240,  0.126,  0.007,  1.027,  0.000,  0.144
 -0.000,    269,   1255,  0.126,  0.007,  1.053,  0.000,  0.121
 -0.000,    261,   1269,  0.126,  0.008,  1.076,  0.000,  0.105
 -0.000,    253,   1282,  0.127,  0.008,  1.099,  0.000,  0.091
 -0.000,    247,   1294,  0.127,  0.009,  1.118,  0.000,  0.080
 -0.000,    243,   1303,  0.127,  0.009,  1.132,  0.000,  0.068
 -0.000,    243,   1308,  0.127,  0.009,  1.137,  0.000,  0.055
 -0.000,    243,   1312,  0.127,  0.010,  1.142,  0.000,  0.044
 -0.000,    243,   1314,  0.127,  0.010,  1.144,  0.000,  0.038
 -0.000,    243,   1315,  0.127,  0.010,  1.145,  0.000,  0.035
 -0.000,    243,   1315,  0.127,  0.010,  1.145,  0.000,  0.033
 -0.000,    243,   1315,  0.127,  0.010,  1.145,  0.000,  0.031
 -0.000,    243,   1315,  0.127,  0.010,  1.145,  0.000,  0.031
 -0.000,    243,   1316,  0.127,  0.010,  1.146,  0.000,  0.031
 -0.000,    243,   1319,  0.128,  0.010,  1.149,  0.000,  0.031
 -0.000,    243,   1322,  0.128,  0.010,  1.152,  0.000,  0.031
 -0.000,    243,   1322,  0.128,  0.010,  1.152,  0.000,  0.030
 -0.000,    243,   1323,  0.128,  0.010,  1.153,  0.000,  0.029
 -0.000,    243,   1327,  0.128,  0.011,  1.158,  0.000,  0.027
 -0.000,    243,   1334,  0.128,  0.011,  1.165,  0.000,  0.027
 -0.000,    243,   1339,  0.128,  0.012,  1.170,  0.000,  0.027
