IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN,MEAS_VEL_L,MEAS_VEL_R
  0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,     17,     21,  0.003,  0.000,  0.004,  0.069, -0.000,  0.034,  0.042
 -0.001,     93,    105,  0.017,  0.000,  0.013,  0.128, -0.001,  0.085,  0.093
 -0.001,    224,    245,  0.040,  0.001,  0.022,  0.164, -0.005,  0.135,  0.135
 -0.001,    396,    422,  0.069,  0.001,  0.028,  0.189, -0.011,  0.152,  0.169
 -0.001,    588,    624,  0.102,  0.002,  0.038,  0.203, -0.017,  0.169,  0.178
 -0.001,    795,    839,  0.138,  0.004,  0.047,  0.208, -0.023,  0.178,  0.178
 -0.001,   1007,   1057,  0.174,  0.006,  0.053,  0.199, -0.032,  0.169,  0.186
 -0.001,   1213,   1262,  0.209,  0.007,  0.052,  0.184, -0.040,  0.161,  0.152
 -0.001,   1411,   1460,  0.243,  0.009,  0.052,  0.171, -0.046,  0.152,  0.161
 -0.001,   1593,   1640,  0.273,  0.011,  0.050,  0.157, -0.050,  0.144,  0.152
 -0.001,   1762,   1807,  0.302,  0.012,  0.048,  0.143, -0.054,  0.135,  0.127
 -0.001,   1918,   1962,  0.328,  0.013,  0.047,  0.133, -0.058,  0.127,  0.127
 -0.001,   2066,   2108,  0.353,  0.015,  0.045,  0.121, -0.062,  0.127,  0.127
 -0.001,   2203,   2242,  0.376,  0.016,  0.042,  0.113, -0.066,  0.110,  0.110
 -0.001,   2333,   2367,  0.397,  0.016,  0.036,  0.102, -0.072,  0.110,  0.101
 -0.001,   2452,   2480,  0.417,  0.017,  0.030,  0.094, -0.076,  0.101,  0.093
 -0.001,   2562,   2584,  0.435,  0.018,  0.023,  0.085, -0.081,  0.093,  0.085
 -0.001,   2662,   2677,  0.451,  0.018,  0.016,  0.077, -0.085,  0.085,  0.068
 -0.001,   2757,   2763,  0.466,  0.018,  0.006,  0.069, -0.091,  0.085,  0.068
 -0.001,   2845,   2841,  0.481,  0.018, -0.004,  0.062, -0.094,  0.068,  0.068
 -0.001,   2927,   2910,  0.493,  0.018, -0.018,  0.056, -0.098,  0.068,  0.051
 -0.001,   3002,   2972,  0.505,  0.018, -0.032,  0.051, -0.100,  0.068,  0.051
 -0.001,   3070,   3028,  0.515,  0.017, -0.045,  0.046, -0.102,  0.051,  0.042
 -0.001,   3133,   3078,  0.525,  0.017, -0.059,  0.041, -0.104,  0.051,  0.042
 -0.001,   3160,   3125,  0.531,  0.016, -0.037,  0.000,  0.785, -0.008,  0.051
 -0.001,   3127,   3194,  0.534,  0.016,  0.072,  0.000,  0.785, -0.042,  0.059
 -0.001,   3084,   3261,  0.536,  0.017,  0.189,  0.000,  0.785, -0.042,  0.059
 -0.001,   3036,   3330,  0.538,  0.017,  0.314,  0.000,  0.785, -0.042,  0.059
 -0.001,   2985,   3400,  0.539,  0.018,  0.443,  0.000,  0.785, -0.042,  0.059
 -0.001,   2931,   3470,  0.541,  0.018,  0.576,  0.000,  0.785, -0.034,  0.059
 -0.001,   2875,   3541,  0.542,  0.019,  0.711,  0.000,  0.785, -0.051,  0.059
 -0.001,   2816,   3611,  0.542,  0.020,  0.849,  0.000,  0.785, -0.059,  0.051
 -0.001,   2770,   3671,  0.543,  0.021,  0.962,  0.000,  0.452, -0.034,  0.042
 -0.001,   2736,   3714,  0.543,  0.021,  1.044,  0.000,  0.387, -0.025,  0.034
 -0.001,   2708,   3748,  0.544,  0.022,  1.111,  0.000,  0.325, -0.017,  0.025
 -0.001,   2684,   3781,  0.544,  0.022,  1.172,  0.000,  0.264, -0.017,  0.017
 -0.001,   2664,   3809,  0.544,  0.023,  1.223,  0.000,  0.222, -0.017,  0.025
 -0.001,   2648,   3832,  0.544,  0.024,  1.264,  0.000,  0.184, -0.017,  0.017
 -0.001,   2636,   3853,  0.545,  0.024,  1.300,  0.000,  0.153, -0.017,  0.017
 -0.001,   2626,   3871,  0.545,  0.025,  1.330,  0.000,  0.128, -0.008,  0.017
 -0.001,   2616,   3887,  0.545,  0.026,  1.357,  0.000,  0.105, -0.017,  0.008
 -0.001,   2612,   3899,  0.545,  0.026,  1.374,  0.000,  0.088,  0.000,  0.008
 -0.001,   2606,   3908,  0.545,  0.026,  1.390,  0.000,  0.076,  0.000,  0.008
 -0.001,   2601,   3914,  0.545,  0.027,  1.402,  0.000,  0.061, -0.008,  0.000
 -0.001,   2598,   3922,  0.545,  0.027,  1.413,  0.000,  0.053,  0.000,  0.008
 -0.001,   2596,   3929,  0.545,  0.027,  1.423,  0.000,  0.044,  0.000,  0.008
 -0.001,   2596,   3934,  0.545,  0.028,  1.429,  0.000,  0.037,  0.000,  0.000
 -0.001,   2596,   3936,  0.545,  0.028,  1.431,  0.000,  0.031,  0.000,  0.000
 -0.001,   2596,   3940,  0.545,  0.028,  1.435,  0.000,  0.026,  0.000,  0.000
 -0.001,   2596,   3942,  0.545,  0.028,  1.437,  0.035,  0.033,  0.000,  0.008
 -0.001,   2636,   3994,  0.546,  0.036,  1.450,  0.102,  0.031,  0.051,  0.068
 -0.001,   2726,   4111,  0.548,  0.054,  1.479,  0.147,  0.028,  0.093,  0.110
 -0.001,   2865,   4273,  0.550,  0.079,  1.504,  0.174,  0.028,  0.127,  0.152
 -0.001,   3036,   4461,  0.552,  0.109,  1.522,  0.194,  0.022,  0.152,  0.169
 -0.001,   3231,   4669,  0.553,  0.143,  1.536,  0.205,  0.004,  0.169,  0.178
 -0.001,   3441,   4887,  0.554,  0.180,  1.544,  0.211, -0.015,  0.186,  0.186
 -0.001,   3657,   5108,  0.555,  0.216,  1.550,  0.206, -0.030,  0.178,  0.186
 -0.001,   3869,   5323,  0.556,  0.253,  1.553,  0.190, -0.046,  0.169,  0.186
 -0.001,   4069,   5522,  0.557,  0.286,  1.552,  0.175, -0.054,  0.161,  0.161
 -0.001,   4255,   5707,  0.557,  0.318,  1.551,  0.158, -0.065,  0.152,  0.152
 -0.001,   4425,   5872,  0.558,  0.346,  1.545,  0.143, -0.073,  0.127,  0.127
 -0.001,   4585,   6025,  0.559,  0.372,  1.538,  0.129, -0.082,  0.135,  0.127
 -0.001,   4727,   6162,  0.560,  0.396,  1.533,  0.118, -0.089,  0.118,  0.118
 -0.001,   4865,   6289,  0.561,  0.418,  1.521,  0.106, -0.095,  0.118,  0.101
 -0.001,   4988,   6403,  0.562,  0.438,  1.511,  0.096, -0.100,  0.110,  0.093
 -0.001,   5100,   6506,  0.563,  0.457,  1.502,  0.084, -0.109,  0.093,  0.085
 -0.001,   5201,   6596,  0.564,  0.473,  1.490,  0.076, -0.114,  0.076,  0.068
 -0.001,   5294,   6676,  0.565,  0.487,  1.476,  0.067, -0.121,  0.085,  0.059
 -0.001,   5377,   6750,  0.567,  0.501,  1.466,  0.059, -0.128,  0.076,  0.068
 -0.001,   5455,   6812,  0.568,  0.512,  1.449,  0.053, -0.135,  0.068,  0.051
 -0.001,   5530,   6868,  0.569,  0.523,  1.429,  0.047, -0.143,  0.068,  0.042
 -0.001,   5598,   6917,  0.571,  0.533,  1.409,  0.000,  0.000,  0.059,  0.042
 -0.001,   5593,   6972,  0.572,  0.537,  1.473,  0.000,  0.785, -0.025,  0.051
 -0.001,   5551,   7041,  0.572,  0.540,  1.591,  0.000,  0.785, -0.042,  0.059
 -0.001,   5505,   7108,  0.572,  0.541,  1.712,  0.000,  0.785, -0.042,  0.059
 -0.001,   5456,   7178,  0.571,  0.543,  1.839,  0.000,  0.785, -0.042,  0.059
 -0.001,   5402,   7247,  0.571,  0.544,  1.970,  0.000,  0.785, -0.042,  0.059
 -0.001,   5347,   7317,  0.570,  0.545,  2.104,  0.000,  0.785, -0.042,  0.059
 -0.001,   5289,   7388,  0.570,  0.546,  2.242,  0.000,  0.785, -0.042,  0.059
 -0.001,   5230,   7459,  0.569,  0.547,  2.380,  0.000,  0.785, -0.051,  0.068
 -0.001,   5169,   7529,  0.568,  0.547,  2.520,  0.000,  0.477, -0.042,  0.051
 -0.001,   5129,   7578,  0.568,  0.548,  2.615,  0.000,  0.409, -0.025,  0.034
 -0.001,   5097,   7619,  0.567,  0.548,  2.693,  0.000,  0.347, -0.025,  0.034
 -0.001,   5071,   7653,  0.566,  0.549,  2.757,  0.000,  0.277, -0.017,  0.034
 -0.001,   5047,   7685,  0.566,  0.549,  2.813,  0.000,  0.225, -0.017,  0.017
 -0.001,   5031,   7707,  0.565,  0.549,  2.858,  0.000,  0.182, -0.017,  0.017
 -0.001,   5015,   7729,  0.565,  0.549,  2.895,  0.000,  0.153, -0.008,  0.017
 -0.001,   5001,   7747,  0.564,  0.549,  2.928,  0.000,  0.122, -0.017,  0.017
 -0.001,   4991,   7762,  0.564,  0.549,  2.956,  0.000,  0.099, -0.017,  0.008
 -0.001,   4984,   7774,  0.564,  0.549,  2.980,  0.000,  0.080, -0.008,  0.008
 -0.001,   4979,   7782,  0.563,  0.549,  2.993,  0.000,  0.062,  0.000,  0.008
 -0.001,   4975,   7788,  0.563,  0.549,  3.004,  0.000,  0.048, -0.008,  0.000
 -0.001,   4974,   7792,  0.563,  0.549,  3.009,  0.000,  0.038,  0.000,  0.008
 -0.001,   4974,   7796,  0.563,  0.549,  3.014,  0.000,  0.030,  0.000,  0.000
 -0.001,   4974,   7797,  0.562,  0.549,  3.015,  0.000,  0.025,  0.000,  0.000
 -0.001,   4991,   7818,  0.559,  0.550,  3.019,  0.071,  0.031,  0.042,  0.042
 -0.001,   5051,   7905,  0.547,  0.551,  3.048,  0.125,  0.027,  0.085,  0.101
 -0.001,   5164,   8046,  0.526,  0.553,  3.078,  0.160,  0.026,  0.110,  0.135
 -0.001,   5319,   8221,  0.498,  0.554,  3.099,  0.184,  0.023,  0.144,  0.152
 -0.001,   5502,   8419,  0.465,  0.555,  3.115,  0.199,  0.005,  0.169,  0.178
 -0.001,   5702,   8628,  0.431,  0.556,  3.125,  0.206, -0.016,  0.169,  0.186
 -0.001,   5914,   8843,  0.395,  0.557,  3.128,  0.207, -0.031,  0.169,  0.186
 -0.001,   6127,   9056,  0.359,  0.557,  3.128,  0.195, -0.046,  0.178,  0.178
 -0.001,   6330,   9257,  0.325,  0.558,  3.126,  0.179, -0.057,  0.169,  0.161
 -0.001,   6519,   9445,  0.293,  0.558,  3.125,  0.166, -0.064,  0.152,  0.144
 -0.001,   6694,   9615,  0.263,  0.559,  3.119,  0.149, -0.072,  0.144,  0.144
 -0.001,   6856,   9772,  0.237,  0.559,  3.114,  0.135, -0.079,  0.135,  0.118
 -0.001,   7003,   9915,  0.212,  0.560,  3.110,  0.120, -0.088,  0.101,  0.110
 -0.001,   7139,  10045,  0.190,  0.561,  3.103,  0.110, -0.092,  0.101,  0.110
 -0.001,   7263,  10160,  0.169,  0.562,  3.094,  0.097, -0.101,  0.093,  0.093
 -0.001,   7375,  10263,  0.151,  0.563,  3.084,  0.087, -0.107,  0.085,  0.076
 -0.001,   7480,  10356,  0.134,  0.564,  3.071,  0.078, -0.114,  0.085,  0.076
 -0.001,   7576,  10438,  0.119,  0.565,  3.056,  0.071, -0.121,  0.085,  0.068
