IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN,MEAS_VEL_L,MEAS_VEL_R
  0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      3,  0.000,  0.000,  0.003,  0.038, -0.000,  0.000,  0.017
 -0.001,     39,     57,  0.008,  0.000,  0.019,  0.109, -0.000,  0.059,  0.068
 -0.001,    149,    172,  0.027,  0.001,  0.025,  0.156, -0.000,  0.118,  0.118
 -0.001,    311,    339,  0.055,  0.001,  0.030,  0.185, -0.001,  0.152,  0.161
 -0.001,    505,    539,  0.088,  0.002,  0.036,  0.207, -0.013,  0.178,  0.178
 -0.001,    720,    759,  0.125,  0.004,  0.042,  0.220, -0.018,  0.203,  0.195
 -0.001,    947,    991,  0.164,  0.006,  0.047,  0.230, -0.021,  0.195,  0.203
 -0.001,   1184,   1233,  0.204,  0.008,  0.052,  0.236, -0.025,  0.203,  0.203
 -0.001,   1426,   1480,  0.246,  0.010,  0.058,  0.241, -0.032,  0.211,  0.203
 -0.001,   1676,   1733,  0.288,  0.012,  0.061,  0.243, -0.036,  0.211,  0.211
 -0.001,   1929,   1988,  0.331,  0.015,  0.063,  0.245, -0.042,  0.220,  0.220
 -0.001,   2183,   2241,  0.374,  0.018,  0.062,  0.246, -0.049,  0.211,  0.211
 -0.001,   2439,   2497,  0.417,  0.021,  0.062,  0.247, -0.055,  0.203,  0.203
 -0.001,   2696,   2754,  0.460,  0.023,  0.062,  0.248, -0.060,  0.211,  0.211
 -0.001,   2953,   3011,  0.504,  0.026,  0.062,  0.248, -0.063,  0.220,  0.220
 -0.001,   3210,   3267,  0.547,  0.029,  0.061,  0.240, -0.068,  0.211,  0.211
 -0.001,   3463,   3516,  0.589,  0.031,  0.057,  0.222, -0.072,  0.203,  0.203
 -0.001,   3698,   3747,  0.629,  0.033,  0.052,  0.206, -0.079,  0.195,  0.186
 -0.001,   3922,   3966,  0.666,  0.035,  0.047,  0.188, -0.085,  0.178,  0.178
 -0.001,   4128,   4166,  0.701,  0.037,  0.041,  0.171, -0.091,  0.178,  0.178
 -0.001,   4312,   4345,  0.731,  0.038,  0.035,  0.154, -0.098,  0.152,  0.144
 -0.001,   4484,   4509,  0.760,  0.039,  0.027,  0.136, -0.105,  0.135,  0.135
 -0.001,   4640,   4655,  0.785,  0.039,  0.016,  0.120, -0.114,  0.118,  0.118
 -0.001,   4781,   4783,  0.808,  0.039,  0.002,  0.109, -0.122,  0.118,  0.101
 -0.001,   4908,   4898,  0.828,  0.039, -0.011,  0.097, -0.129,  0.085,  0.085
 -0.001,   5029,   5004,  0.848,  0.039, -0.027,  0.088, -0.136,  0.101,  0.093
 -0.001,   5140,   5098,  0.865,  0.038, -0.045,  0.079, -0.142,  0.085,  0.085
 -0.001,   5252,   5188,  0.880,  0.037, -0.066,  0.071, -0.148,  0.085,  0.068
 -0.001,   5343,   5260,  0.894,  0.036, -0.087,  0.063, -0.155,  0.076,  0.059
 -0.001,   5428,   5324,  0.907,  0.035, -0.108,  0.056, -0.160,  0.076,  0.051
 -0.001,   5506,   5380,  0.919,  0.034, -0.135,  0.050, -0.165,  0.068,  0.042
 -0.001,   5578,   5428,  0.930,  0.032, -0.160,  0.044, -0.172,  0.051,  0.034
 -0.001,   5620,   5476,  0.937,  0.031, -0.154,  0.000,  0.785, -0.042,  0.051
 -0.001,   5594,   5545,  0.941,  0.030, -0.052,  0.000,  0.785, -0.034,  0.051
 -0.001,   5550,   5614,  0.943,  0.030,  0.068,  0.000,  0.785, -0.042,  0.059
 -0.001,   5503,   5683,  0.945,  0.031,  0.192,  0.000,  0.785, -0.042,  0.059
 -0.001,   5454,   5752,  0.946,  0.031,  0.318,  0.000,  0.785, -0.042,  0.059
 -0.001,   5401,   5821,  0.947,  0.032,  0.449,  0.000,  0.785, -0.042,  0.051
 -0.001,   5345,   5890,  0.948,  0.032,  0.582,  0.000,  0.785, -0.042,  0.051
 -0.001,   5286,   5962,  0.949,  0.033,  0.722,  0.000,  0.785, -0.051,  0.059
 -0.001,   5226,   6032,  0.950,  0.033,  0.861,  0.000,  0.785, -0.059,  0.059
 -0.001,   5167,   6100,  0.950,  0.034,  0.996,  0.000,  0.481, -0.034,  0.042
 -0.001,   5126,   6150,  0.951,  0.035,  1.094,  0.000,  0.405, -0.034,  0.034
 -0.001,   5093,   6190,  0.951,  0.035,  1.172,  0.000,  0.337, -0.034,  0.042
 -0.001,   5068,   6224,  0.951,  0.036,  1.235,  0.000,  0.273, -0.017,  0.034
 -0.001,   5047,   6252,  0.951,  0.037,  1.287,  0.000,  0.226, -0.017,  0.025
 -0.001,   5029,   6275,  0.952,  0.037,  1.331,  0.000,  0.183, -0.017,  0.017
 -0.001,   5015,   6294,  0.952,  0.037,  1.366,  0.000,  0.155, -0.008,  0.017
 -0.001,   5002,   6308,  0.952,  0.037,  1.395,  0.000,  0.124, -0.017,  0.000
 -0.001,   4992,   6322,  0.952,  0.038,  1.420,  0.000,  0.101,  0.000,  0.008
 -0.001,   4986,   6334,  0.952,  0.038,  1.440,  0.000,  0.083,  0.000,  0.008
 -0.001,   4981,   6342,  0.952,  0.039,  1.453,  0.000,  0.065, -0.008,  0.000
 -0.001,   4979,   6348,  0.952,  0.039,  1.462,  0.000,  0.050,  0.000,  0.008
 -0.001,   4976,   6353,  0.952,  0.039,  1.471,  0.000,  0.041,  0.000,  0.000
 -0.001,   4972,   6361,  0.952,  0.039,  1.483,  0.000,  0.034, -0.017,  0.008
 -0.001,   4969,   6366,  0.952,  0.040,  1.492,  0.000,  0.030,  0.000,  0.000
 -0.001,   4966,   6368,  0.952,  0.039,  1.497,  0.000,  0.025,  0.000, -0.017
 -0.001,   4972,   6379,  0.952,  0.041,  1.503,  0.054,  0.030,  0.025,  0.025
 -0.001,   5019,   6445,  0.953,  0.050,  1.523,  0.120,  0.022,  0.059,  0.085
 -0.001,   5125,   6574,  0.953,  0.070,  1.547,  0.160,  0.016,  0.118,  0.127
 -0.001,   5277,   6747,  0.954,  0.098,  1.570,  0.190,  0.013,  0.135,  0.161
 -0.001,   5463,   6949,  0.953,  0.131,  1.587,  0.208,  0.002,  0.161,  0.178
 -0.001,   5674,   7169,  0.952,  0.167,  1.597,  0.222, -0.018,  0.186,  0.195
 -0.001,   5925,   7425,  0.951,  0.206,  1.602,  0.231, -0.033,  0.195,  0.195
 -0.001,   6163,   7667,  0.950,  0.246,  1.606,  0.237, -0.047,  0.203,  0.203
 -0.001,   6410,   7915,  0.948,  0.288,  1.607,  0.241, -0.057,  0.211,  0.211
 -0.001,   6660,   8164,  0.947,  0.330,  1.605,  0.243, -0.064,  0.211,  0.220
 -0.001,   6912,   8412,  0.946,  0.372,  1.601,  0.244, -0.070,  0.211,  0.220
 -0.001,   7166,   8665,  0.944,  0.415,  1.602,  0.245, -0.075,  0.220,  0.211
 -0.001,   7420,   8917,  0.943,  0.462,  1.599,  0.246, -0.078,  0.220,  0.220
 -0.001,   7675,   9169,  0.942,  0.505,  1.596,  0.246, -0.082,  0.211,  0.220
 -0.001,   7929,   9420,  0.941,  0.548,  1.592,  0.239, -0.088,  0.211,  0.211
 -0.001,   8177,   9662,  0.940,  0.589,  1.586,  0.219, -0.093,  0.203,  0.203
 -0.001,   8410,   9887,  0.940,  0.628,  1.577,  0.202, -0.098,  0.186,  0.178
 -0.001,   8623,  10093,  0.939,  0.664,  1.570,  0.186, -0.104,  0.186,  0.178
 -0.001,   8821,  10283,  0.940,  0.696,  1.561,  0.171, -0.109,  0.161,  0.152
 -0.001,   9006,  10459,  0.940,  0.727,  1.552,  0.155, -0.115,  0.152,  0.144
 -0.001,   9175,  10617,  0.941,  0.755,  1.540,  0.141, -0.123,  0.135,  0.127
 -0.001,   9333,  10763,  0.942,  0.780,  1.527,  0.126, -0.129,  0.135,  0.127
 -0.001,   9475,  10894,  0.943,  0.803,  1.515,  0.114, -0.136,  0.118,  0.110
 -0.001,   9608,  11013,  0.944,  0.825,  1.500,  0.102, -0.142,  0.101,  0.101
 -0.001,   9730,  11118,  0.946,  0.844,  1.482,  0.092, -0.149,  0.101,  0.085
 -0.001,   9843,  11213,  0.947,  0.861,  1.463,  0.082, -0.157,  0.093,  0.076
 -0.001,   9946,  11297,  0.949,  0.877,  1.443,  0.073, -0.165,  0.085,  0.076
 -0.001,  10041,  11371,  0.951,  0.891,  1.420,  0.064, -0.172,  0.085,  0.059
 -0.001,  10129,  11436,  0.953,  0.904,  1.396,  0.058, -0.177,  0.085,  0.059
 -0.001,  10208,  11492,  0.956,  0.915,  1.371,  0.052, -0.183,  0.059,  0.042
 -0.001,  10284,  11543,  0.958,  0.926,  1.345,  0.047, -0.187,  0.059,  0.034
 -0.001,  10353,  11589,  0.960,  0.935,  1.320,  0.042, -0.191,  0.042,  0.034
 -0.001,  10347,  11644,  0.961,  0.939,  1.385,  0.000,  0.785, -0.025,  0.059
 -0.001,  10306,  11711,  0.961,  0.941,  1.500,  0.000,  0.785, -0.034,  0.059
 -0.001,  10261,  11780,  0.961,  0.943,  1.622,  0.000,  0.785, -0.025,  0.051
 -0.001,  10211,  11850,  0.961,  0.945,  1.750,  0.000,  0.785, -0.051,  0.059
 -0.001,  10158,  11918,  0.961,  0.946,  1.880,  0.000,  0.785, -0.042,  0.059
 -0.001,  10101,  11987,  0.960,  0.947,  2.014,  0.000,  0.785, -0.051,  0.059
 -0.001,  10044,  12057,  0.960,  0.948,  2.150,  0.000,  0.785, -0.051,  0.059
 -0.001,   9985,  12127,  0.959,  0.949,  2.288,  0.000,  0.785, -0.051,  0.059
 -0.001,   9924,  12198,  0.959,  0.949,  2.429,  0.000,  0.785, -0.051,  0.059
 -0.001,   9862,  12268,  0.958,  0.950,  2.569,  0.000,  0.490, -0.051,  0.051
 -0.001,   9818,  12318,  0.958,  0.950,  2.670,  0.000,  0.420, -0.034,  0.034
 -0.001,   9785,  12360,  0.957,  0.950,  2.750,  0.000,  0.345, -0.025,  0.034
 -0.001,   9759,  12394,  0.956,  0.951,  2.814,  0.000,  0.273, -0.017,  0.025
 -0.001,   9738,  12422,  0.956,  0.951,  2.866,  0.000,  0.218, -0.017,  0.017
 -0.001,   9722,  12446,  0.955,  0.951,  2.909,  0.000,  0.170, -0.017,  0.017
 -0.001,   9707,  12465,  0.955,  0.951,  2.945,  0.000,  0.138, -0.008,  0.017
