IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN
  0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.012,      3,      1,  0.000, -0.000, -0.002,  0.060, -0.000
 -0.012,     58,     58,  0.010, -0.000,  0.000,  0.119, -0.000
 -0.012,    169,    172,  0.029,  0.000,  0.003,  0.158, -0.000
 -0.012,    323,    329,  0.055,  0.000,  0.006,  0.182,  0.001
 -0.012,    500,    511,  0.086,  0.000,  0.012,  0.196,  0.001
 -0.012,    694,    708,  0.119,  0.001,  0.015,  0.207, -0.002
 -0.012,    896,    913,  0.153,  0.001,  0.018,  0.214, -0.004
 -0.012,   1104,   1125,  0.189,  0.002,  0.022,  0.216, -0.009
 -0.012,   1337,   1356,  0.224,  0.003,  0.019,  0.209, -0.011
 -0.012,   1541,   1559,  0.259,  0.004,  0.019,  0.201, -0.014
 -0.012,   1737,   1754,  0.292,  0.004,  0.019,  0.192, -0.017
 -0.012,   1926,   1942,  0.324,  0.005,  0.018,  0.183, -0.016
 -0.012,   2106,   2122,  0.354,  0.005,  0.018,  0.174, -0.017
 -0.012,   2277,   2289,  0.383,  0.006,  0.014,  0.167, -0.017
 -0.012,   2446,   2456,  0.415,  0.006,  0.011,  0.160, -0.017
 -0.012,   2607,   2616,  0.439,  0.006,  0.011,  0.154, -0.017
 -0.012,   2758,   2767,  0.467,  0.007,  0.010,  0.146, -0.016
 -0.012,   2905,   2913,  0.492,  0.007,  0.009,  0.140, -0.015
 -0.012,   3045,   3051,  0.516,  0.007,  0.006,  0.133, -0.014
 -0.012,   3179,   3186,  0.538,  0.007,  0.007,  0.127, -0.015
 -0.012,   3306,   3313,  0.560,  0.007,  0.007,  0.121, -0.016
 -0.012,   3427,   3435,  0.580,  0.007,  0.009,  0.115, -0.016
 -0.012,   3543,   3552,  0.598,  0.008,  0.009,  0.109, -0.015
 -0.012,   3653,   3663,  0.619,  0.008,  0.011,  0.105, -0.016
 -0.012,   3761,   3769,  0.637,  0.008,  0.009,  0.100, -0.016
 -0.012,   3863,   3871,  0.654,  0.008,  0.009,  0.096, -0.018
 -0.012,   3959,   3967,  0.670,  0.008,  0.009,  0.091, -0.022
 -0.012,   4051,   4060,  0.686,  0.008,  0.010,  0.086, -0.022
 -0.012,   4139,   4149,  0.701,  0.009,  0.011,  0.083, -0.021
 -0.012,   4223,   4232,  0.715,  0.009,  0.010,  0.079, -0.024
 -0.012,   4305,   4313,  0.729,  0.009,  0.009,  0.075, -0.025
 -0.012,   4384,   4388,  0.742,  0.009,  0.004,  0.071, -0.027
 -0.012,   4458,   4462,  0.754,  0.009,  0.004,  0.067, -0.028
 -0.012,   4529,   4532,  0.766,  0.009,  0.003,  0.065, -0.028
 -0.012,   4596,   4599,  0.778,  0.009,  0.003,  0.062, -0.029
 -0.012,   4659,   4663,  0.788,  0.009,  0.004,  0.059, -0.029
 -0.012,   4722,   4724,  0.799,  0.009,  0.002,  0.056, -0.029
 -0.012,   4781,   4782,  0.809,  0.009,  0.001,  0.053, -0.031
 -0.012,   4839,   4839,  0.819,  0.009,  0.000,  0.050, -0.032
 -0.012,   4893,   4892,  0.828,  0.009, -0.001,  0.048, -0.033
 -0.012,   4946,   4943,  0.836,  0.009, -0.003,  0.045, -0.033
 -0.012,   4997,   4993,  0.845,  0.009, -0.004,  0.043, -0.035
 -0.012,   5044,   5040,  0.853,  0.009, -0.004,  0.041, -0.036
 -0.012,   5090,   5084,  0.860,  0.009, -0.006,  0.039, -0.037
 -0.012,   5135,   5127,  0.868,  0.009, -0.009,  0.037, -0.037
 -0.012,   5177,   5168,  0.875,  0.009, -0.010,  0.035, -0.039
 -0.012,   5218,   5207,  0.882,  0.009, -0.012,  0.033, -0.040
 -0.012,   5258,   5243,  0.888,  0.009, -0.016,  0.032, -0.042
 -0.012,   5296,   5278,  0.894,  0.009, -0.019,  0.030, -0.042
 -0.012,   5332,   5311,  0.900,  0.009, -0.022,  0.028, -0.043
 -0.012,   5364,   5341,  0.905,  0.008, -0.025,  0.027, -0.043
 -0.012,   5399,   5371,  0.911,  0.008, -0.030,  0.025, -0.043
 -0.012,   5429,   5397,  0.916,  0.008, -0.034,  0.000,  0.000
 -0.012,   5407,   5449,  0.918,  0.008,  0.045,  0.000,  0.749
 -0.012,   5372,   5511,  0.920,  0.008,  0.148,  0.000,  0.755
 -0.012,   5333,   5573,  0.922,  0.009,  0.256,  0.000,  0.758
 -0.012,   5290,   5636,  0.924,  0.009,  0.370,  0.000,  0.732
 -0.012,   5247,   5698,  0.925,  0.010,  0.482,  0.000,  0.681
 -0.012,   5201,   5755,  0.926,  0.010,  0.592,  0.000,  0.634
 -0.012,   5157,   5808,  0.927,  0.011,  0.695,  0.000,  0.579
 -0.012,   5115,   5857,  0.927,  0.011,  0.792,  0.000,  0.513
 -0.012,   5077,   5901,  0.928,  0.012,  0.880,  0.000,  0.464
 -0.012,   5043,   5942,  0.928,  0.012,  0.960,  0.000,  0.405
 -0.012,   5010,   5978,  0.928,  0.012,  1.034,  0.000,  0.366
 -0.012,   4980,   6011,  0.928,  0.012,  1.101,  0.000,  0.316
 -0.012,   4955,   6040,  0.928,  0.013,  1.159,  0.000,  0.288
 -0.012,   4932,   6067,  0.928,  0.013,  1.212,  0.000,  0.243
 -0.012,   4914,   6090,  0.929,  0.013,  1.256,  0.000,  0.206
