IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN,MEAS_VEL_L,MEAS_VEL_R
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      1,      2,  0.000,  0.000,  0.001,  0.078,  0.000,  0.008,  0.017
 -0.001,    173,    187,  0.030,  0.000,  0.015,  0.387,  0.000,  0.254,  0.262
 -0.001,    581,    609,  0.101,  0.002,  0.030,  0.576,  0.000,  0.364,  0.372
 -0.001,   1096,   1137,  0.189,  0.005,  0.044,  0.706,  0.000,  0.389,  0.414
 -0.001,   1627,   1680,  0.280,  0.010,  0.057,  0.796,  0.000,  0.465,  0.474
 -0.001,   2162,   2227,  0.371,  0.015,  0.069,  0.859,  0.000,  0.457,  0.465
 -0.001,   2728,   2786,  0.466,  0.022,  0.062,  0.902,  0.000,  0.482,  0.482
 -0.001,   3320,   3373,  0.565,  0.028,  0.057,  0.935,  0.000,  0.507,  0.499
 -0.001,   3924,   3963,  0.666,  0.033,  0.042,  0.955,  0.000,  0.507,  0.499
 -0.001,   4529,   4562,  0.768,  0.037,  0.035,  0.969,  0.000,  0.516,  0.499
 -0.001,   5105,   5120,  0.864,  0.039,  0.016,  0.000,  0.000,  0.288,  0.245
 -0.001,   5132,   5135,  0.867,  0.039,  0.003,  0.000,  0.000,  0.000,  0.000
 -0.001,   5132,   5136,  0.867,  0.039,  0.004,  0.000,  0.000,  0.000,  0.008
 -0.001,   5132,   5136,  0.867,  0.039,  0.004,  0.000,  0.000,  0.000,  0.000
 -0.001,   5132,   5136,  0.867,  0.039,  0.004,  0.000,  0.000,  0.000,  0.000
 -0.001,   5126,   5131,  0.867,  0.039,  0.005,  0.000,  0.000, -0.008, -0.008
 -0.001,   5120,   5123,  0.865,  0.039,  0.003,  0.000,  0.000,  0.000,  0.000
 -0.001,   5118,   5121,  0.865,  0.039,  0.003,  0.000,  0.000,  0.000, -0.008
 -0.001,   5118,   5123,  0.865,  0.039,  0.005,  0.000,  0.000,  0.000,  0.008
 -0.001,   5118,   5121,  0.865,  0.039,  0.003,  0.000,  0.000,  0.000, -0.008
 -0.001,   5118,   5118,  0.865,  0.039,  0.000,  0.000,  0.000,  0.000,  0.008
 -0.001,   5118,   5115,  0.865,  0.039, -0.003,  0.000,  0.000,  0.000, -0.017
 -0.001,   5118,   5115,  0.865,  0.039, -0.003,  0.000,  0.000,  0.000,  0.008
 -0.001,   5118,   5112,  0.864,  0.039, -0.006,  0.000,  0.000,  0.000,  0.000
 -0.001,   5118,   5109,  0.864,  0.039, -0.010,  0.000,  0.000,  0.000, -0.008
 -0.001,   5118,   5109,  0.864,  0.039, -0.007,  0.000,  0.000,  0.000, -0.017
 -0.001,   5118,   5109,  0.864,  0.039, -0.011,  0.000,  0.000,  0.000,  0.008
