IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN,MEAS_VEL_L,MEAS_VEL_R
  0.000,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,      0,      0,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000,  0.000
 -0.001,   -125,    133,  0.001, -0.000, -0.052,  0.000,  3.142, -0.186,  0.211
 -0.001,   -357,    374,  0.001, -0.000, -0.460,  0.000,  3.142, -0.186,  0.178
 -0.001,   -608,    619,  0.001,  0.000, -0.952,  0.000,  3.142, -0.220,  0.211
 -0.001,   -863,    863,  0.001,  0.001, -1.473,  0.000,  3.142, -0.220,  0.203
 -0.001,  -1123,   1112,  0.001,  0.002, -1.996,  0.000,  3.142, -0.220,  0.220
 -0.001,  -1381,   1357,  0.002,  0.003, -2.527,  0.000,  3.142, -0.220,  0.211
 -0.001,  -1643,   1604,  0.003,  0.003, -3.050,  0.000,  3.142, -0.220,  0.211
 -0.001,  -1900,   1853,  0.003,  0.003,  2.712,  0.000,  3.142, -0.228,  0.220
 -0.001,  -2134,   2074,  0.004,  0.003,  2.239,  0.000,  3.142, -0.186,  0.169
 -0.001,  -2420,   2348,  0.005,  0.002,  1.656,  0.000,  3.142, -0.195,  0.186
 -0.001,  -2682,   2595,  0.004,  0.000,  1.129,  0.000,  3.142, -0.228,  0.211
 -0.001,  -2942,   2841,  0.004, -0.001,  0.605,  0.000,  3.142, -0.220,  0.211
 -0.001,  -3202,   3089,  0.003, -0.001,  0.085,  0.000,  3.142, -0.220,  0.211
 -0.001,  -3461,   3336,  0.002, -0.001, -0.437,  0.000,  3.142, -0.220,  0.211
 -0.001,  -3718,   3584,  0.001, -0.000, -0.954,  0.000,  3.142, -0.211,  0.203
 -0.001,  -3976,   3831,  0.001,  0.001, -1.476,  0.000,  3.142, -0.220,  0.203
 -0.001,  -4233,   4076,  0.001,  0.002, -1.998,  0.000,  3.142, -0.220,  0.211
 -0.001,  -4491,   4323,  0.002,  0.002, -2.520,  0.000,  3.142, -0.228,  0.211
 -0.001,  -4755,   4570,  0.003,  0.003, -3.045,  0.000,  3.142, -0.220,  0.203
 -0.001,  -5013,   4816,  0.004,  0.003,  2.716,  0.000,  3.142, -0.186,  0.178
 -0.001,  -5095,   4894,  0.004,  0.002,  2.526,  0.000,  0.000, -0.008,  0.008
 -0.001,  -5103,   4906,  0.004,  0.003,  2.547,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4916,  0.003,  0.003,  2.558,  0.000,  0.000,  0.000,  0.017
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4922,  0.003,  0.003,  2.564,  0.000,  0.000,  0.000,  0.017
 -0.001,  -5103,   4922,  0.003,  0.003,  2.564,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4922,  0.003,  0.003,  2.564,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4922,  0.003,  0.003,  2.564,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4922,  0.003,  0.003,  2.564,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4922,  0.003,  0.003,  2.564,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4923,  0.003,  0.003,  2.564,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4923,  0.003,  0.003,  2.565,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4923,  0.003,  0.003,  2.565,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4923,  0.003,  0.003,  2.565,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4923,  0.003,  0.003,  2.565,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4923,  0.003,  0.003,  2.565,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4923,  0.003,  0.003,  2.565,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4923,  0.003,  0.003,  2.565,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4923,  0.003,  0.003,  2.565,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4923,  0.003,  0.003,  2.565,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4923,  0.003,  0.003,  2.565,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4923,  0.003,  0.003,  2.565,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4923,  0.003,  0.003,  2.565,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4923,  0.003,  0.003,  2.565,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4923,  0.003,  0.003,  2.565,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000, -0.008
 -0.001,  -5103,   4923,  0.003,  0.003,  2.565,  0.000,  0.000,  0.000,  0.008
 -0.001,  -5103,   4921,  0.003,  0.003,  2.563,  0.000,  0.000,  0.000, -0.008
